Title,Year,Type,Runtime,Genre,Rating,Director,No_of_ratings,Gross
Hotel Transylvania,2012,PG,91 min,"Animation, Comedy, Family",7.1,Genndy Tartakovsky,194017,$148.31M
Inside Man,2006,R,129 min,"Crime, Drama, Mystery",7.6,Spike Lee,303240,$88.51M
Serenity,2005,PG-13,119 min,"Action, Adventure, Sci-Fi",7.9,Joss Whedon,262897,$25.51M
Despicable Me,2010,PG,95 min,"Animation, Comedy, Family",7.7,Pierre Coffin,444165,$251.51M
Safe House,2012,R,115 min,"Action, Adventure, Crime",6.8,Daniel Espinosa,185227,$126.37M
Jennifer's Body,2009,R,102 min,"Comedy, Horror",5.2,Karyn Kusama,102812,$16.20M
Warrior,2011,PG-13,140 min,"Drama, Sport",8.2,Gavin O'Connor,388818,$13.66M
Vacation,2015,R,99 min,"Adventure, Comedy",6.1,John Francis Daley,83424,$58.88M
Despicable Me 3,2017,PG,89 min,"Animation, Action, Adventure",6.3,Kyle Balda,79552,$264.62M
American Gangster,2007,R,157 min,"Biography, Crime, Drama",7.8,Ridley Scott,355208,$130.16M
War Machine,2017,TV-MA,122 min,"Comedy, Drama, War",6,David Michôd,31173,NaN
Sully,2016,PG-13,96 min,"Biography, Drama",7.5,Clint Eastwood,184098,$125.07M
Maleficent,2014,PG,97 min,"Action, Adventure, Family",7,Robert Stromberg,291461,$241.41M
The Duff,2015,PG-13,101 min,"Comedy, Romance",6.5,Ari Sandel,68234,$34.02M
Waiting...,2005,R,94 min,Comedy,6.8,Rob McKittrick,81710,$16.12M
Star Trek: Into Darkness,2013,PG-13,132 min,"Action, Adventure, Sci-Fi",7.7,J.J. Abrams,436747,$228.78M
Zodiac,2007,R,157 min,"Crime, Drama, History",7.7,David Fincher,369733,$33.08M
The Lobster,2015,R,119 min,"Comedy, Drama, Romance",7.1,Yorgos Lanthimos,158653,$8.70M
Dangal,2016,Not Rated,161 min,"Action, Biography, Drama",8.5,Nitesh Tiwari,103719,$12.39M
Good Time,2017,R,101 min,"Crime, Drama, Thriller",7.3,Benny Safdie,43612,$2.01M
The Boss Baby,2017,PG,97 min,"Animation, Comedy, Family",6.3,Tom McGrath,83703,$175.00M
Nightcrawler,2014,R,118 min,"Crime, Drama, Thriller",7.9,Dan Gilroy,379233,$32.38M
Inferno,2016,PG-13,121 min,"Action, Adventure, Crime",6.2,Ron Howard,127436,$34.34M
Shot Caller,2017,R,121 min,"Crime, Drama, Thriller",7.3,Ric Roman Waugh,50331,NaN
Emelie,2015,Not Rated,80 min,"Horror, Thriller",5.4,Michael Thelin,10327,NaN
The Invitation,2015,Not Rated,100 min,"Drama, Mystery, Thriller",6.7,Karyn Kusama,60019,$0.23M
CHIPS,2017,R,100 min,"Action, Comedy, Crime",6,Dax Shepard,32469,$18.59M
The Fault in Our Stars,2014,PG-13,126 min,"Drama, Romance",7.8,Josh Boone,299488,$124.87M
Brave,2012,PG,93 min,"Animation, Adventure, Comedy",7.1,Mark Andrews,320594,$237.28M
21 Jump Street,2012,R,109 min,"Action, Comedy, Crime",7.2,Phil Lord,461649,$138.45M
Super 8,2011,PG-13,112 min,"Mystery, Sci-Fi, Thriller",7,J.J. Abrams,313058,$127.00M
Brokeback Mountain,2005,R,134 min,"Drama, Romance",7.7,Ang Lee,289474,$83.04M
The Proposal,2009,PG-13,108 min,"Comedy, Drama, Romance",6.7,Anne Fletcher,260563,$163.96M
Insurgent,2015,PG-13,119 min,"Action, Adventure, Sci-Fi",6.2,Robert Schwentke,190360,$130.18M
Dallas Buyers Club,2013,R,117 min,"Biography, Drama",8,Jean-Marc Vallée,385551,$27.30M
Allegiant,2016,PG-13,120 min,"Action, Adventure, Mystery",5.7,Robert Schwentke,87602,$66.18M
Busanhaeng,2016,TV-MA,118 min,"Action, Horror, Thriller",7.5,Sang-ho Yeon,94436,$2.13M
The Foreigner,2017,R,113 min,"Action, Crime, Drama",7,Martin Campbell,70594,$34.39M
Sky High,2005,PG,100 min,"Adventure, Comedy, Family",6.2,Mike Mitchell,69635,$63.95M
The Town,2010,R,125 min,"Crime, Drama, Thriller",7.6,Ben Affleck,312205,$92.19M
Straight Outta Compton,2015,R,147 min,"Biography, Drama, History",7.9,F. Gary Gray,158431,$161.20M
The Big Sick,2017,R,120 min,"Comedy, Drama, Romance",7.6,Michael Showalter,92959,$42.87M
Thoroughbreds,2017,R,92 min,"Comedy, Crime, Drama",6.8,Cory Finley,16838,$2.83M
The Last House on the Left,2009,R,110 min,"Horror, Thriller",6.6,Dennis Iliadis,76621,$32.72M
Grown Ups,2010,PG-13,102 min,Comedy,6,Dennis Dugan,203067,$162.00M
Gifted,2017,PG-13,101 min,Drama,7.6,Marc Webb,72672,$24.80M
Suburbicon,2017,R,105 min,"Crime, Drama, Mystery",5.6,George Clooney,25375,$5.78M
Finding Dory,2016,PG,97 min,"Animation, Adventure, Comedy",7.3,Andrew Stanton,198160,$486.30M
She's Out of My League,2010,R,104 min,"Comedy, Romance",6.4,Jim Field Smith,112227,$31.58M
The Lost City of Z,2016,PG-13,141 min,"Adventure, Biography, Drama",6.6,James Gray,60242,$8.58M
Jupiter Ascending,2015,PG-13,127 min,"Action, Adventure, Sci-Fi",5.3,Lana Wachowski,160995,$47.39M
Manchester by the Sea,2016,R,137 min,Drama,7.8,Kenneth Lonergan,195314,$47.70M
This Is Where I Leave You,2014,R,103 min,"Comedy, Drama",6.6,Shawn Levy,62980,$34.29M
The Florida Project,2017,R,111 min,Drama,7.6,Sean Baker,58379,$5.90M
Enchanted,2007,PG,107 min,"Animation, Comedy, Family",7.1,Kevin Lima,160010,$127.81M
Kick-Ass,2010,R,117 min,"Action, Comedy",7.6,Matthew Vaughn,483065,$48.07M
The Lovely Bones,2009,PG-13,135 min,"Drama, Fantasy, Thriller",6.7,Peter Jackson,140187,$43.82M
Pacific Rim,2013,PG-13,131 min,"Action, Adventure, Sci-Fi",6.9,Guillermo del Toro,431896,$101.80M
The Bad Batch,2016,R,118 min,"Drama, Horror, Romance",5.3,Ana Lily Amirpour,17180,$0.18M
The Edge of Seventeen,2016,R,104 min,"Comedy, Drama",7.4,Kelly Fremon Craig,76258,$14.26M
Orphan,2009,R,123 min,"Horror, Mystery, Thriller",7,Jaume Collet-Serra,168373,$41.60M
The Informant!,2009,R,108 min,"Biography, Comedy, Crime",6.5,Steven Soderbergh,58048,$33.31M
Step Brothers,2008,R,98 min,Comedy,6.9,Adam McKay,237408,$100.47M
Birdman or (The Unexpected Virtue of Ignorance),2014,R,119 min,"Comedy, Drama",7.7,Alejandro G. Iñárritu,490661,$42.34M
Revolutionary Road,2008,R,119 min,"Drama, Romance",7.3,Sam Mendes,171005,$22.91M
"Love, Rosie",2014,R,102 min,"Comedy, Romance",7.2,Christian Ditter,95645,$0.01M
Daddy's Home 2,2017,PG-13,100 min,Comedy,6,Sean Anders,37230,$104.03M
Mississippi Grind,2015,R,108 min,"Comedy, Drama",6.4,Anna Boden,15570,$0.13M
Atonement,2007,R,123 min,"Drama, Mystery, Romance",7.8,Joe Wright,219412,$50.93M
The Impossible,2012,PG-13,114 min,"Drama, History, Thriller",7.6,J.A. Bayona,170120,$19.02M
The Strangers,2008,R,86 min,"Horror, Mystery, Thriller",6.2,Bryan Bertino,106287,$52.60M
Lion,2016,PG-13,118 min,"Biography, Drama",8.1,Garth Davis,165369,$51.69M
What We Do in the Shadows,2014,R,86 min,"Comedy, Horror",7.6,Jemaine Clement,111601,$3.33M
Idiocracy,2006,R,84 min,"Adventure, Comedy, Sci-Fi",6.6,Mike Judge,125962,$0.44M
Evil Dead,2013,R,91 min,"Fantasy, Horror, Thriller",6.5,Fede Alvarez,141901,$54.24M
That Awkward Moment,2014,R,94 min,"Comedy, Romance",6.2,Tom Gormican,89036,$26.05M
Law Abiding Citizen,2009,R,109 min,"Crime, Drama, Thriller",7.4,F. Gary Gray,242694,$73.34M
Looper,2012,R,113 min,"Action, Crime, Drama",7.4,Rian Johnson,483040,$66.49M
Underworld: Blood Wars,2016,R,91 min,"Action, Adventure, Fantasy",5.8,Anna Foerster,58186,$30.35M
Exodus: Gods and Kings,2014,PG-13,150 min,"Action, Adventure, Drama",6,Ridley Scott,146464,$65.01M
Percy Jackson & the Olympians: The Lightning Thief,2010,PG,118 min,"Adventure, Family, Fantasy",5.9,Chris Columbus,159603,$88.76M
Before I Fall,2017,PG-13,98 min,"Drama, Fantasy, Mystery",6.4,Ry Russo-Young,34316,$12.23M
10 Cloverfield Lane,2016,PG-13,103 min,"Drama, Horror, Mystery",7.2,Dan Trachtenberg,244122,$71.90M
Enemy,2013,R,91 min,"Mystery, Thriller",6.9,Denis Villeneuve,133172,$1.01M
Zombieland,2009,R,88 min,"Adventure, Comedy, Horror",7.7,Ruben Fleischer,439685,$75.59M
Monsters University,2013,G,104 min,"Animation, Adventure, Comedy",7.3,Dan Scanlon,277124,$268.49M
Men in Black 3,2012,PG-13,106 min,"Action, Adventure, Comedy",6.8,Barry Sonnenfeld,295655,$179.02M
Immortals,2011,R,110 min,"Action, Drama, Fantasy",6,Tarsem Singh,149559,$83.50M
In the Heart of the Sea,2015,PG-13,122 min,"Action, Adventure, Biography",6.9,Ron Howard,103196,$25.02M
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,PG,143 min,"Adventure, Family, Fantasy",6.9,Andrew Adamson,325840,$291.71M
Carrie,2013,R,100 min,"Drama, Horror",5.9,Kimberly Peirce,121264,$35.27M
Prince of Persia: The Sands of Time,2010,PG-13,116 min,"Action, Adventure, Fantasy",6.6,Mike Newell,246883,$90.76M
Friends with Benefits,2011,R,109 min,"Comedy, Romance",6.6,Will Gluck,306171,$55.80M
A Dog's Purpose,2017,PG,100 min,"Adventure, Comedy, Drama",7,Lasse Hallström,46906,$64.30M
Kingdom of Heaven,2005,R,144 min,"Action, Adventure, Drama",7.2,Ridley Scott,242752,$47.40M
1922,2017,TV-MA,102 min,"Crime, Drama, Horror",6.3,Zak Hilditch,28414,NaN
P.S. I Love You,2007,PG-13,126 min,"Drama, Romance",7.1,Richard LaGravenese,187192,$53.70M
Tropic Thunder,2008,R,107 min,"Action, Comedy",7,Ben Stiller,341567,$110.52M
Annabelle,2014,R,99 min,"Horror, Mystery, Thriller",5.4,John R. Leonetti,111354,$84.27M
Night at the Museum: Secret of the Tomb,2014,PG,98 min,"Adventure, Comedy, Family",6.2,Shawn Levy,85669,$113.75M
Silence,2016,R,161 min,"Adventure, Drama, History",7.2,Martin Scorsese,78353,$7.08M
Srpski film,2010,NC-17,104 min,"Horror, Mystery, Thriller",5.2,Srdjan Spasojevic,48516,NaN
Wish I Was Here,2014,R,106 min,"Comedy, Drama",6.7,Zach Braff,33886,$3.59M
Death Proof,2007,Not Rated,113 min,"Action, Thriller",7,Quentin Tarantino,234937,NaN
Blue Valentine,2010,R,112 min,"Drama, Romance",7.4,Derek Cianfrance,163532,$9.74M
Dark Crimes,2016,R,92 min,"Crime, Drama, Thriller",4.8,Alexandros Avranas,6161,NaN
The Golden Compass,2007,PG-13,113 min,"Adventure, Family, Fantasy",6.1,Chris Weitz,163116,$70.11M
Transformers: Age of Extinction,2014,PG-13,165 min,"Action, Adventure, Sci-Fi",5.7,Michael Bay,274670,$245.44M
Limitless,2011,PG-13,105 min,"Mystery, Sci-Fi, Thriller",7.4,Neil Burger,474036,$79.25M
Below Her Mouth,2016,Not Rated,94 min,"Drama, Romance",5.5,April Mullen,5925,NaN
Okja,2017,TV-MA,120 min,"Action, Adventure, Drama",7.3,Joon-ho Bong,63828,NaN
Mom and Dad,2017,R,86 min,"Comedy, Horror, Thriller",5.5,Brian Taylor,11138,NaN
Hercules,2014,PG-13,98 min,"Action, Adventure, Fantasy",6,Brett Ratner,131486,$72.69M
Knocked Up,2007,R,129 min,"Comedy, Romance",7,Judd Apatow,323563,$148.73M
In Bruges,2008,R,107 min,"Comedy, Crime, Drama",7.9,Martin McDonagh,349284,$7.76M
Cloud Atlas,2012,R,172 min,"Action, Drama, Mystery",7.5,Tom Tykwer,317521,$27.11M
The Boy,2016,PG-13,97 min,"Horror, Mystery, Thriller",6,William Brent Bell,63722,$35.79M
A Million Ways to Die in the West,2014,R,116 min,"Action, Comedy, Western",6.1,Seth MacFarlane,155044,$43.14M
2012,2009,PG-13,158 min,"Action, Adventure, Sci-Fi",5.8,Roland Emmerich,317072,$166.11M
Bolt,2008,PG,96 min,"Animation, Adventure, Comedy",6.9,Byron Howard,167004,$114.05M
It Comes at Night,2017,R,91 min,"Horror, Mystery",6.2,Trey Edward Shults,61125,$13.99M
The Secret Life of Walter Mitty,2013,PG,114 min,"Adventure, Comedy, Drama",7.3,Ben Stiller,267043,$58.24M
This Is the End,2013,R,107 min,"Comedy, Fantasy",6.6,Evan Goldberg,349081,$101.47M
"Everything, Everything",2017,PG-13,96 min,"Drama, Romance",6.4,Stella Meghie,22482,$34.00M
Apocalypto,2006,R,139 min,"Action, Adventure, Drama",7.8,Mel Gibson,262970,$50.87M
The Place Beyond the Pines,2012,R,140 min,"Crime, Drama, Thriller",7.3,Derek Cianfrance,217814,$21.38M
Chappaquiddick,2017,PG-13,106 min,"Drama, History, Thriller",6.5,John Curran,5669,$17.40M
Public Enemies,2009,R,140 min,"Biography, Crime, Drama",7,Michael Mann,253923,$97.10M
Patriots Day,2016,R,133 min,"Crime, Drama, History",7.4,Peter Berg,68981,$31.89M
The Neon Demon,2016,R,118 min,"Horror, Thriller",6.2,Nicolas Winding Refn,66728,$1.33M
Legend,2015,R,132 min,"Biography, Crime, Drama",7,Brian Helgeland,129059,$1.87M
Furious 6,2013,PG-13,130 min,"Action, Crime, Thriller",7.1,Justin Lin,336992,$238.68M
Verónica,2017,TV-MA,105 min,"Drama, Horror",6.2,Paco Plaza,23946,NaN
Insidious,2010,PG-13,103 min,"Horror, Mystery, Thriller",6.8,James Wan,241214,$54.01M
Wild Child,2008,PG-13,124 min,"Comedy, Drama, Romance",6.1,Nick Moore,43437,$0.02M
Inherent Vice,2014,R,148 min,"Comedy, Crime, Drama",6.7,Paul Thomas Anderson,78476,$8.11M
Professor Marston and the Wonder Women,2017,R,108 min,"Biography, Drama",7.1,Angela Robinson,14120,$1.58M
Rough Night,2017,R,101 min,"Comedy, Crime, Thriller",5.2,Lucia Aniello,34852,$22.06M
Self/less,2015,PG-13,117 min,"Action, Mystery, Sci-Fi",6.5,Tarsem Singh,76691,$12.28M
Deepwater Horizon,2016,PG-13,107 min,"Action, Drama, History",7.1,Peter Berg,123693,$61.28M
Knock Knock,2015,R,99 min,"Drama, Horror, Thriller",4.9,Eli Roth,64036,$0.04M
The Descent,2005,R,99 min,"Adventure, Horror, Thriller",7.2,Neil Marshall,177807,$26.02M
Flight,2012,R,138 min,"Drama, Thriller",7.3,Robert Zemeckis,292503,$93.77M
Sin City: A Dame to Kill For,2014,R,102 min,"Crime, Thriller",6.5,Frank Miller,134205,$13.76M
The Twilight Saga: Breaking Dawn - Part 1,2011,PG-13,117 min,"Adventure, Drama, Fantasy",4.9,Bill Condon,200844,$281.29M
Oldboy,2013,R,104 min,"Action, Drama, Mystery",5.8,Spike Lee,60089,$2.19M
Detroit,2017,R,143 min,"Crime, Drama, History",7.4,Kathryn Bigelow,34902,$16.79M
Indiana Jones and the Kingdom of the Crystal Skull,2008,PG-13,122 min,"Action, Adventure, Fantasy",6.2,Steven Spielberg,376334,$317.10M
War of the Worlds,2005,PG-13,116 min,"Adventure, Sci-Fi, Thriller",6.5,Steven Spielberg,374236,$234.28M
22 Jump Street,2014,R,112 min,"Action, Comedy, Crime",7,Phil Lord,306173,$191.72M
Sex Drive,2008,R,109 min,"Adventure, Comedy, Romance",6.5,Sean Anders,78286,$8.40M
Escape Plan,2013,R,115 min,"Action, Crime, Mystery",6.7,Mikael Håfström,204043,$25.13M
The Book of Eli,2010,R,118 min,"Action, Adventure, Drama",6.9,Albert Hughes,259296,$94.84M
Easy A,2010,PG-13,92 min,"Comedy, Drama, Romance",7.1,Will Gluck,317096,$58.40M
Nerve,2016,PG-13,96 min,"Action, Adventure, Crime",6.6,Henry Joost,95343,$38.56M
Mr. & Mrs. Smith,2005,PG-13,120 min,"Action, Comedy, Crime",6.5,Doug Liman,399134,$186.34M
Fifty Shades Darker,2017,R,118 min,"Drama, Romance",4.6,James Foley,74660,$114.38M
Jagten,2012,R,115 min,Drama,8.3,Thomas Vinterberg,225546,$0.69M
Unbroken,2014,PG-13,137 min,"Biography, Drama, Sport",7.2,Angelina Jolie,125110,$115.64M
Pirates of the Caribbean: On Stranger Tides,2011,PG-13,136 min,"Action, Adventure, Fantasy",6.6,Rob Marshall,430151,$241.07M
The Danish Girl,2015,R,119 min,"Biography, Drama, History",7.1,Tom Hooper,135405,$12.71M
The Lives of Others,2006,R,137 min,"Drama, Thriller",8.4,Florian Henckel von Donnersmarck,307619,$11.29M
The Beguiled,2017,R,93 min,"Drama, Thriller",6.3,Sofia Coppola,37941,$10.58M
Mr. Nobody,2009,R,141 min,"Drama, Fantasy, Romance",7.9,Jaco Van Dormael,187627,$0.00M
The Mist,2007,R,126 min,"Horror, Sci-Fi, Thriller",7.2,Frank Darabont,251725,$25.59M
The Huntsman: Winter's War,2016,PG-13,114 min,"Action, Adventure, Drama",6.1,Cedric Nicolas-Troyan,81391,$48.39M
The Loft,2014,R,108 min,"Mystery, Romance, Thriller",6.3,Erik Van Looy,44509,$5.98M
Relatos salvajes,2014,R,122 min,"Comedy, Drama, Thriller",8.1,Damián Szifron,139081,$3.11M
Loving Vincent,2017,PG-13,94 min,"Animation, Biography, Crime",7.8,Dorota Kobiela,31888,$6.74M
Robin Hood,2010,PG-13,140 min,"Action, Adventure, Drama",6.7,Ridley Scott,232782,$105.27M
The Emoji Movie,2017,PG,86 min,"Animation, Adventure, Comedy",3.2,Tony Leondis,42397,$86.09M
Carol,2015,R,118 min,"Drama, Romance",7.2,Todd Haynes,92836,$12.71M
One Day,2011,PG-13,107 min,"Drama, Romance",7,Lone Scherfig,122875,$13.84M
The Lego Movie,2014,PG,100 min,"Animation, Action, Adventure",7.8,Phil Lord,289131,$257.76M
Teenage Mutant Ninja Turtles: Out of the Shadows,2016,PG-13,112 min,"Action, Adventure, Comedy",6,Dave Green,73127,$82.05M
Newness,2017,Unrated,117 min,"Drama, Romance",6.4,Drake Doremus,6669,NaN
Footloose,2011,PG-13,113 min,"Comedy, Drama, Music",5.9,Craig Brewer,41839,$51.80M
Tinker Tailor Soldier Spy,2011,R,122 min,"Drama, Mystery, Thriller",7.1,Tomas Alfredson,169103,$24.15M
The Hunger Games: Mockingjay - Part 2,2015,PG-13,137 min,"Action, Adventure, Sci-Fi",6.5,Francis Lawrence,234930,$281.72M
The Lincoln Lawyer,2011,R,118 min,"Crime, Drama, Thriller",7.3,Brad Furman,190896,$58.01M
Chef,2014,R,114 min,"Adventure, Comedy, Drama",7.3,Jon Favreau,166626,$30.64M
Friday the 13th,2009,R,97 min,Horror,5.6,Marcus Nispel,85515,$65.00M
Snow White and the Huntsman,2012,PG-13,127 min,"Action, Adventure, Drama",6.1,Rupert Sanders,252037,$155.33M
X-Men: The Last Stand,2006,PG-13,104 min,"Action, Adventure, Sci-Fi",6.7,Brett Ratner,434541,$234.36M
Crimson Peak,2015,R,119 min,"Drama, Fantasy, Horror",6.5,Guillermo del Toro,113753,$31.06M
Snowden,2016,R,134 min,"Biography, Drama, Thriller",7.3,Oliver Stone,108377,$21.59M
Lincoln,2012,PG-13,150 min,"Biography, Drama, History",7.4,Steven Spielberg,221816,$182.21M
The House,2017,R,88 min,"Comedy, Crime",5.6,Andrew Jay Cohen,28474,$25.48M
The Sorcerer's Apprentice,2010,PG,109 min,"Action, Adventure, Family",6.1,Jon Turteltaub,139352,$63.15M
A Bad Moms Christmas,2017,R,104 min,"Adventure, Comedy",5.5,Jon Lucas,25616,$72.11M
The Princess and the Frog,2009,G,97 min,"Animation, Adventure, Comedy",7.1,Ron Clements,103771,$104.40M
Pixels,2015,PG-13,105 min,"Action, Comedy, Fantasy",5.6,Chris Columbus,114101,$78.75M
I Don't Feel at Home in This World Anymore.,2017,TV-MA,93 min,"Comedy, Crime, Drama",6.9,Macon Blair,32370,NaN
No Strings Attached,2011,R,108 min,"Comedy, Romance",6.2,Ivan Reitman,190577,$70.66M
The Hitchhiker's Guide to the Galaxy,2005,PG,109 min,"Adventure, Comedy, Sci-Fi",6.8,Garth Jennings,172214,$51.09M
"Roman J. Israel, Esq.",2017,PG-13,122 min,"Crime, Drama",6.4,Dan Gilroy,18300,$11.96M
Savages,2012,R,131 min,"Crime, Drama, Thriller",6.5,Oliver Stone,112617,$47.38M
The Bling Ring,2013,R,90 min,"Biography, Crime, Drama",5.6,Sofia Coppola,75708,$5.84M
Sex Tape,2014,R,94 min,"Comedy, Romance",5.1,Jake Kasdan,96721,$38.54M
(500) Days of Summer,2009,PG-13,95 min,"Comedy, Drama, Romance",7.7,Marc Webb,426806,$32.39M
Rush,2013,R,123 min,"Action, Biography, Drama",8.1,Ron Howard,376433,$26.95M
Snowpiercer,2013,R,126 min,"Action, Drama, Sci-Fi",7,Joon-ho Bong,223851,$4.56M
Into the Woods,2014,PG,125 min,"Adventure, Comedy, Drama",6,Rob Marshall,118880,$128.00M
The Wolverine,2013,PG-13,126 min,"Action, Adventure, Fantasy",6.7,James Mangold,383986,$132.56M
The Hunger Games: Mockingjay - Part 1,2014,PG-13,123 min,"Action, Adventure, Sci-Fi",6.7,Francis Lawrence,362160,$337.14M
Cargo,2017,NaN,105 min,"Drama, Thriller",6.3,Ben Howling,19266,NaN
Death Note,2017,TV-MA,101 min,"Adventure, Crime, Drama",4.6,Adam Wingard,60833,NaN
Radius,2017,Not Rated,93 min,"Sci-Fi, Thriller",6.2,Caroline Labrèche,7475,NaN
A Ghost Story,2017,R,92 min,"Drama, Fantasy, Romance",6.8,David Lowery,39616,$1.60M
Goosebumps,2015,PG,103 min,"Adventure, Comedy, Family",6.3,Rob Letterman,66097,$80.08M
Southpaw,2015,R,124 min,"Drama, Sport",7.4,Antoine Fuqua,190108,$52.42M
How to Be Single,2016,R,110 min,"Comedy, Drama, Romance",6.1,Christian Ditter,69944,$46.81M
Kiss Kiss Bang Bang,2005,R,103 min,"Action, Comedy, Crime",7.6,Shane Black,196763,$4.24M
Nymphomaniac: Vol. II,2013,Not Rated,123 min,Drama,6.7,Lars von Trier,74051,$0.33M
The Gift,VI) (2015,R,108 min,"Drama, Mystery, Thriller",7.1,Joel Edgerton,115859,$43.77M
The Thing,2011,R,103 min,"Horror, Mystery, Sci-Fi",6.2,Matthijs van Heijningen Jr.,107460,$16.93M
Moon,2009,R,97 min,"Drama, Mystery, Sci-Fi",7.9,Duncan Jones,300437,$5.01M
Tron,2010,PG,125 min,"Action, Adventure, Sci-Fi",6.8,Joseph Kosinski,288310,$172.06M
The Purge: Election Year,2016,R,108 min,"Action, Horror, Sci-Fi",6,James DeMonaco,72283,$79.00M
Bridge of Spies,2015,PG-13,142 min,"Drama, History, Thriller",7.6,Steven Spielberg,249289,$72.31M
2 Guns,2013,R,109 min,"Action, Comedy, Crime",6.7,Baltasar Kormákur,176044,$75.61M
300: Rise of an Empire,2014,R,102 min,"Action, Fantasy, War",6.2,Noam Murro,253586,$106.58M
The Last Airbender,2010,PG,103 min,"Action, Adventure, Family",4.1,M. Night Shyamalan,133011,$131.56M
G.I. Joe: Retaliation,2013,PG-13,110 min,"Action, Adventure, Sci-Fi",5.8,Jon M. Chu,159863,$122.52M
Barely Lethal,2015,PG-13,96 min,"Action, Adventure, Comedy",5.4,Kyle Newman,16092,NaN
The Dictator,2012,R,83 min,Comedy,6.4,Larry Charles,241390,$59.65M
The Heat,2013,R,117 min,"Action, Comedy, Crime",6.6,Paul Feig,148871,$159.58M
The Book of Henry,2017,PG-13,105 min,"Crime, Drama, Thriller",6.6,Colin Trevorrow,16192,$4.22M
The Hills Have Eyes,2006,R,107 min,"Horror, Thriller",6.4,Alexandre Aja,144686,$41.78M
This Is 40,2012,R,134 min,"Comedy, Romance",6.2,Judd Apatow,115122,$67.54M
Clash of the Titans,2010,PG-13,106 min,"Action, Adventure, Fantasy",5.8,Louis Leterrier,249613,$163.21M
The Pursuit of Happyness,2006,PG-13,117 min,"Biography, Drama",8,Gabriele Muccino,389406,$163.57M
The Only Living Boy in New York,2017,R,89 min,Drama,6.3,Marc Webb,6819,$0.62M
Breathe,2017,PG-13,118 min,"Biography, Drama, Romance",7.1,Andy Serkis,12073,$0.49M
King Kong,2005,PG-13,187 min,"Action, Adventure, Drama",7.2,Peter Jackson,354644,$218.08M
Mudbound,2017,R,134 min,"Drama, War",7.4,Dee Rees,28634,NaN
Lucy,2014,R,89 min,"Action, Sci-Fi, Thriller",6.4,Luc Besson,385150,$126.66M
3 Idiots,2009,PG-13,170 min,"Comedy, Drama",8.4,Rajkumar Hirani,280585,$6.53M
Into the Blue,2005,PG-13,110 min,"Action, Adventure, Crime",5.8,John Stockwell,68473,$18.47M
Martyrs,2008,R,99 min,Horror,7.1,Pascal Laugier,70726,NaN
